prefecture,fuzoku_area,normalized,suggested_slug,suggested_name,confidence
aichi,"名古屋","名古屋",nagoya,"名古屋",HIGH
aichi,"新栄・東新町","新栄・東新町",nagoya,"(その他)",OVERRIDE
aichi,"大曽根","大曽根",nagoya,"(その他)",OVERRIDE
aichi,"柴田","柴田",nagoya,"(その他)",OVERRIDE
aichi,"金山","金山",nagoya,"(その他)",OVERRIDE
aichi,"名古屋内その他","名古屋内その他",nagoya,"(その他)",OVERRIDE
aichi,"一宮","一宮",ichinomiya,"一宮・稲沢",HIGH
aichi,"春日井","春日井",aichi-other,"(その他)",OVERRIDE
aichi,"愛知その他","愛知その他",aichi-other,"(その他)",OVERRIDE
aichi,"名駅/納屋橋","名駅/納屋橋",nagoya,"(その他)",OVERRIDE
aichi,"栄 風俗","栄",nagoya,"(その他)",OVERRIDE
aichi,"錦 風俗","錦",nagoya,"(その他)",OVERRIDE
aichi,"丸の内 風俗","丸の内",nagoya,"(その他)",OVERRIDE
aichi,"名駅 風俗","名駅",nagoya,"(その他)",OVERRIDE
aichi,"納屋橋 風俗","納屋橋",nagoya,"(その他)",OVERRIDE
aichi,"今池 風俗","今池",nagoya,"(その他)",OVERRIDE
aichi,"池下 風俗","池下",nagoya,"(その他)",OVERRIDE
aichi,"小牧 風俗","小牧",aichi-other,"(その他)",OVERRIDE
aichi,"犬山 風俗","犬山",aichi-other,"(その他)",OVERRIDE
aichi,"豊田 風俗","豊田",toyota,"豊田・岡崎・刈谷",HIGH
aichi,"刈谷 風俗","刈谷",toyota,"豊田・岡崎・刈谷",HIGH
aichi,"大府 風俗","大府",toyota,"(その他)",OVERRIDE
aichi,"安城 風俗","安城",toyota,"(その他)",OVERRIDE
aichi,"知立 風俗","知立",toyota,"(その他)",OVERRIDE
aichi,"半田 風俗","半田",aichi-other,"(その他)",OVERRIDE
aichi,"知多 風俗","知多",aichi-other,"(その他)",OVERRIDE
aichi,"常滑 風俗","常滑",aichi-other,"(その他)",OVERRIDE
aichi,"岡崎 風俗","岡崎",toyota,"豊田・岡崎・刈谷",HIGH
aichi,"蒲郡 風俗","蒲郡",toyohashi,"(その他)",OVERRIDE
aichi,"豊橋 風俗","豊橋",toyohashi,"豊橋・豊川",HIGH
aichi,"豊川 風俗","豊川",toyohashi,"豊橋・豊川",HIGH
aichi,"栄/錦/丸の内 風俗","栄/錦/丸の内",nagoya,"(その他)",OVERRIDE
aichi,"今池/池下 風俗","今池/池下",nagoya,"(その他)",OVERRIDE
aichi,"豊橋/豊川 風俗","豊橋/豊川",toyohashi,"豊橋・豊川",MED
aichi,"岡崎/蒲郡 風俗","岡崎/蒲郡",toyota,"豊田・岡崎・刈谷",MED
akita,"秋田","秋田",akita-city,"秋田市・能代・男鹿",HIGH
akita,"大仙・大曲","大仙・大曲",akita-city,"(その他)",OVERRIDE
akita,"横手","横手",akita-other,"(その他)",OVERRIDE
akita,"秋田その他","秋田その他",akita-other,"(その他)",OVERRIDE
aomori,"青森","青森",aomori-city,"青森・弘前",HIGH
aomori,"八戸","八戸",hachinohe,"八戸・三沢",HIGH
aomori,"むつ","むつ",aomori-other,"(その他)",OVERRIDE
aomori,"弘前","弘前",aomori-city,"青森・弘前",HIGH
aomori,"三沢","三沢",hachinohe,"八戸・三沢",HIGH
aomori,"十和田","十和田",hachinohe,"(その他)",OVERRIDE
aomori,"黒石","黒石",aomori-city,"(その他)",OVERRIDE
aomori,"青森その他","青森その他",aomori-other,"(その他)",OVERRIDE
chiba,"千葉・栄町","千葉・栄町",chiba-city,"千葉・栄町",MED
chiba,"柏","柏",kashiwa,"柏・松戸",HIGH
chiba,"成田","成田",narita,"成田・印西",HIGH
chiba,"市原","市原",kisarazu,"木更津・市原",HIGH
chiba,"津田沼","津田沼",funabashi,"船橋・西船橋・津田沼",HIGH
chiba,"浦安","浦安",ichikawa,"市川・浦安",HIGH
chiba,"幕張","幕張",chiba-city,"(その他)",OVERRIDE
chiba,"本八幡","本八幡",ichikawa,"(その他)",OVERRIDE
chiba,"市川","市川",ichikawa,"市川・浦安",HIGH
chiba,"行徳","行徳",ichikawa,"(その他)",OVERRIDE
chiba,"富里","富里",narita,"(その他)",OVERRIDE
chiba,"東金","東金",togane,"東金・茂原",HIGH
chiba,"野田","野田",kashiwa,"(その他)",OVERRIDE
chiba,"千葉その他","千葉その他",chiba-other,"(その他)",OVERRIDE
chiba,"西船橋 風俗","西船橋",funabashi,"船橋・西船橋・津田沼",HIGH
chiba,"船橋 風俗","船橋",funabashi,"船橋・西船橋・津田沼",HIGH
chiba,"木更津 風俗","木更津",kisarazu,"木更津・市原",HIGH
chiba,"君津 風俗","君津",kisarazu,"(その他)",OVERRIDE
chiba,"松戸 風俗","松戸",kashiwa,"柏・松戸",HIGH
chiba,"新松戸 風俗","新松戸",kashiwa,"(その他)",OVERRIDE
chiba,"西船橋/船橋 風俗","西船橋/船橋",funabashi,"船橋・西船橋・津田沼",MED
chiba,"松戸/新松戸 風俗","松戸/新松戸",kashiwa,"柏・松戸",MED
chiba,"木更津/君津 風俗","木更津/君津",kisarazu,"木更津・市原",MED
ehime,"松山・道後温泉","松山・道後温泉",matsuyama,"松山",MED
ehime,"今治","今治",ehime-other,"(その他)",OVERRIDE
ehime,"宇和島","宇和島",ehime-other,"(その他)",OVERRIDE
ehime,"四国中央","四国中央",ehime-other,"(その他)",OVERRIDE
ehime,"愛媛その他","愛媛その他",ehime-other,"(その他)",OVERRIDE
ehime,"西予 風俗","西予",ehime-other,"(その他)",OVERRIDE
ehime,"八幡浜 風俗","八幡浜",ehime-other,"(その他)",OVERRIDE
ehime,"大洲 風俗","大洲",ehime-other,"(その他)",OVERRIDE
ehime,"西条 風俗","西条",ehime-other,"(その他)",OVERRIDE
ehime,"新居浜 風俗","新居浜",ehime-other,"(その他)",OVERRIDE
ehime,"西条/新居浜 風俗","西条/新居浜",ehime-other,"(その他)",OVERRIDE
fukui,"福井","福井",fukui-city,"福井",HIGH
fukui,"敦賀","敦賀",fukui-city,"(その他)",OVERRIDE
fukui,"武生","武生",fukui-city,"(その他)",OVERRIDE
fukui,"鯖江","鯖江",fukui-city,"(その他)",OVERRIDE
fukui,"福井その他","福井その他",fukui-city,"(その他)",OVERRIDE
fukuoka,"福岡","福岡",fukuoka-city,"福岡・中洲",HIGH
fukuoka,"中洲","中洲",fukuoka-city,"福岡・中洲",HIGH
fukuoka,"博多","博多",fukuoka-city,"(その他)",OVERRIDE
fukuoka,"小倉","小倉",kitakyushu,"(その他)",OVERRIDE
fukuoka,"北九州","北九州",kitakyushu,"北九州・筑豊",HIGH
fukuoka,"久留米","久留米",kurume,"久留米・筑後",HIGH
fukuoka,"天神","天神",fukuoka-city,"(その他)",OVERRIDE
fukuoka,"大牟田","大牟田",kurume,"(その他)",OVERRIDE
fukuoka,"黒崎","黒崎",kitakyushu,"(その他)",OVERRIDE
fukuoka,"門司","門司",kitakyushu,"(その他)",OVERRIDE
fukuoka,"行橋","行橋",kitakyushu,"(その他)",OVERRIDE
fukuoka,"田川","田川",kitakyushu,"(その他)",OVERRIDE
fukuoka,"宗像","宗像",fukuoka-city,"(その他)",OVERRIDE
fukuoka,"糸島","糸島",fukuoka-city,"(その他)",OVERRIDE
fukuoka,"福岡内その他","福岡内その他",fukuoka-city,"(その他)",OVERRIDE
fukuoka,"北九州内その他","北九州内その他",kitakyushu,"(その他)",OVERRIDE
fukuoka,"福岡その他","福岡その他",fukuoka-city,"(その他)",OVERRIDE
fukuoka,"筑後 風俗","筑後",kurume,"久留米・筑後",HIGH
fukuoka,"八女 風俗","八女",kurume,"(その他)",OVERRIDE
fukuoka,"柳川 風俗","柳川",kurume,"(その他)",OVERRIDE
fukuoka,"大川 風俗","大川",kurume,"(その他)",OVERRIDE
fukuoka,"大野城 風俗","大野城",fukuoka-city,"(その他)",OVERRIDE
fukuoka,"筑紫野 風俗","筑紫野",fukuoka-city,"(その他)",OVERRIDE
fukushima,"郡山","郡山",koriyama,"郡山",HIGH
fukushima,"いわき・小名浜","いわき・小名浜",iwaki,"いわき・小名浜",MED
fukushima,"福島","福島",fukushima-city,"福島・二本松",HIGH
fukushima,"猪苗代","猪苗代",aizu,"(その他)",OVERRIDE
fukushima,"二本松","二本松",fukushima-city,"福島・二本松",HIGH
fukushima,"福島その他","福島その他",fukushima-other,"(その他)",OVERRIDE
fukushima,"会津若松 風俗","会津若松",aizu,"会津若松",HIGH
fukushima,"喜多方 風俗","喜多方",aizu,"(その他)",OVERRIDE
fukushima,"白河 風俗","白河",shirakawa,"白河",HIGH
fukushima,"新白河 風俗","新白河",shirakawa,"(その他)",OVERRIDE
fukushima,"会津若松/喜多方 風俗","会津若松/喜多方",aizu,"会津若松",MED
fukushima,"白河/新白河 風俗","白河/新白河",shirakawa,"白河",MED
gifu,"金津園","金津園",gifu-city,"岐阜・金津園",HIGH
gifu,"岐阜 風俗","岐阜",gifu-city,"岐阜・金津園",HIGH
gifu,"各務原 風俗","各務原",gifu-city,"(その他)",OVERRIDE
gifu,"大垣 風俗","大垣",gifu-city,"(その他)",OVERRIDE
gifu,"瑞穂 風俗","瑞穂",gifu-city,"(その他)",OVERRIDE
gifu,"羽島 風俗","羽島",gifu-city,"(その他)",OVERRIDE
gifu,"高山 風俗","高山",gifu-other,"(その他)",OVERRIDE
gifu,"美濃加茂 風俗","美濃加茂",gifu-city,"(その他)",OVERRIDE
gifu,"可児 風俗","可児",gifu-city,"(その他)",OVERRIDE
gifu,"多治見 風俗","多治見",gifu-city,"(その他)",OVERRIDE
gifu,"恵那 風俗","恵那",gifu-other,"(その他)",OVERRIDE
gifu,"土岐 風俗","土岐",gifu-city,"(その他)",OVERRIDE
gifu,"関 風俗","関",gifu-city,"(その他)",OVERRIDE
gifu,"山県 風俗","山県",gifu-city,"(その他)",OVERRIDE
gifu,"岐阜/各務原 風俗","岐阜/各務原",gifu-city,"岐阜・金津園",MED
gifu,"美濃加茂/可児/多治見 風俗","美濃加茂/可児/多治見",gifu-city,"(その他)",OVERRIDE
gunma,"高崎","高崎",takasaki,"高崎・前橋",HIGH
gunma,"太田","太田",ota,"太田・伊勢崎・桐生",HIGH
gunma,"伊勢崎","伊勢崎",ota,"太田・伊勢崎・桐生",HIGH
gunma,"前橋","前橋",takasaki,"高崎・前橋",HIGH
gunma,"渋川","渋川",takasaki,"(その他)",OVERRIDE
gunma,"館林","館林",ota,"(その他)",OVERRIDE
gunma,"沼田","沼田",takasaki,"(その他)",OVERRIDE
gunma,"桐生","桐生",ota,"太田・伊勢崎・桐生",HIGH
gunma,"群馬その他","群馬その他",takasaki,"(その他)",OVERRIDE
gunma,"藤岡 風俗","藤岡",takasaki,"(その他)",OVERRIDE
gunma,"富岡 風俗","富岡",takasaki,"(その他)",OVERRIDE
hiroshima,"広島","広島",hiroshima-city,"広島市",HIGH
hiroshima,"福山","福山",fukuyama,"福山・尾道",HIGH
hiroshima,"呉","呉",hiroshima-city,"(その他)",OVERRIDE
hiroshima,"安芸高田","安芸高田",hiroshima-city,"(その他)",OVERRIDE
hiroshima,"広島その他","広島その他",hiroshima-other,"(その他)",OVERRIDE
hiroshima,"廿日市 風俗","廿日市",hiroshima-city,"(その他)",OVERRIDE
hiroshima,"東広島 風俗","東広島",hiroshima-city,"(その他)",OVERRIDE
hiroshima,"三原 風俗","三原",fukuyama,"(その他)",OVERRIDE
hiroshima,"尾道 風俗","尾道",fukuyama,"福山・尾道",HIGH
hiroshima,"東広島/竹原 風俗","東広島/竹原",hiroshima-city,"(その他)",OVERRIDE
hokkaido,"すすきの・札幌","すすきの・札幌",sapporo,"札幌・すすきの",MED
hokkaido,"旭川","旭川",asahikawa,"旭川",HIGH
hokkaido,"函館","函館",hakodate,"函館",HIGH
hokkaido,"小樽","小樽",sapporo,"(その他)",OVERRIDE
hokkaido,"釧路","釧路",kushiro,"釧路・北見・網走",HIGH
hokkaido,"帯広","帯広",obihiro,"帯広・十勝",HIGH
hokkaido,"北見","北見",kushiro,"釧路・北見・網走",HIGH
hokkaido,"室蘭","室蘭",tomakomai,"苫小牧・室蘭・千歳",HIGH
hokkaido,"稚内","稚内",hokkaido-other,"(その他)",OVERRIDE
hokkaido,"中標津","中標津",hokkaido-other,"(その他)",OVERRIDE
hokkaido,"北海道その他","北海道その他",hokkaido-other,"(その他)",OVERRIDE
hokkaido,"千歳 風俗","千歳",tomakomai,"苫小牧・室蘭・千歳",HIGH
hokkaido,"苫小牧 風俗","苫小牧",tomakomai,"苫小牧・室蘭・千歳",HIGH
hokkaido,"恵庭 風俗","恵庭",sapporo,"(その他)",OVERRIDE
hokkaido,"千歳/苫小牧/恵庭 風俗","千歳/苫小牧/恵庭",tomakomai,"苫小牧・室蘭・千歳",MED
hyogo,"神戸・三宮","神戸・三宮",kobe,"神戸・阪神",MED
hyogo,"福原（ソープ）","福原（ソープ）",kobe,"(その他)",OVERRIDE
hyogo,"尼崎","尼崎",kobe,"(その他)",OVERRIDE
hyogo,"福原","福原",kobe,"(その他)",OVERRIDE
hyogo,"明石","明石",himeji,"姫路・加古川・明石",HIGH
hyogo,"神戸内その他","神戸内その他",kobe,"(その他)",OVERRIDE
hyogo,"兵庫その他","兵庫その他",hyogo-other,"(その他)",OVERRIDE
hyogo,"川西 風俗","川西",kobe,"(その他)",OVERRIDE
hyogo,"宝塚 風俗","宝塚",kobe,"(その他)",OVERRIDE
hyogo,"伊丹 風俗","伊丹",kobe,"(その他)",OVERRIDE
hyogo,"西宮 風俗","西宮",kobe,"(その他)",OVERRIDE
hyogo,"姫路 風俗","姫路",himeji,"姫路・加古川・明石",HIGH
hyogo,"加古川 風俗","加古川",himeji,"姫路・加古川・明石",HIGH
hyogo,"高砂 風俗","高砂",himeji,"(その他)",OVERRIDE
hyogo,"豊岡 風俗","豊岡",hyogo-other,"(その他)",OVERRIDE
hyogo,"相生 風俗","相生",himeji,"(その他)",OVERRIDE
hyogo,"たつの 風俗","たつの",himeji,"(その他)",OVERRIDE
hyogo,"西脇 風俗","西脇",himeji,"(その他)",OVERRIDE
hyogo,"丹波 風俗","丹波",hyogo-other,"(その他)",OVERRIDE
hyogo,"三田 風俗","三田",kobe,"(その他)",OVERRIDE
hyogo,"小野 風俗","小野",himeji,"(その他)",OVERRIDE
hyogo,"滝野社 風俗","滝野社",himeji,"(その他)",OVERRIDE
hyogo,"豊岡/養父 風俗","豊岡/養父",hyogo-other,"(その他)",OVERRIDE
ibaraki,"土浦","土浦",tsuchiura,"土浦・つくば",HIGH
ibaraki,"水戸・天王町","水戸・天王町",mito,"水戸",MED
ibaraki,"つくば","つくば",tsuchiura,"土浦・つくば",HIGH
ibaraki,"日立","日立",mito,"(その他)",OVERRIDE
ibaraki,"取手","取手",tsuchiura,"(その他)",OVERRIDE
ibaraki,"古河","古河",ibaraki-other,"(その他)",OVERRIDE
ibaraki,"牛久","牛久",tsuchiura,"(その他)",OVERRIDE
ibaraki,"ひたちなか","ひたちなか",mito,"(その他)",OVERRIDE
ibaraki,"茨城その他","茨城その他",ibaraki-other,"(その他)",OVERRIDE
ibaraki,"神栖 風俗","神栖",kashima,"神栖・鹿嶋",HIGH
ibaraki,"鹿島(茨城) 風俗","鹿島(茨城)",kashima,"(その他)",OVERRIDE
ibaraki,"神栖/鹿島 風俗","神栖/鹿島",kashima,"神栖・鹿嶋",MED
ishikawa,"金沢","金沢",kanazawa,"金沢",HIGH
ishikawa,"小松","小松",kanazawa,"(その他)",OVERRIDE
ishikawa,"かほく","かほく",kanazawa,"(その他)",OVERRIDE
ishikawa,"石川その他","石川その他",ishikawa-other,"(その他)",OVERRIDE
ishikawa,"片山津 風俗","片山津",kanazawa,"(その他)",OVERRIDE
ishikawa,"加賀 風俗","加賀",kanazawa,"(その他)",OVERRIDE
ishikawa,"七尾 風俗","七尾",ishikawa-other,"(その他)",OVERRIDE
ishikawa,"羽咋 風俗","羽咋",ishikawa-other,"(その他)",OVERRIDE
ishikawa,"能登 風俗","能登",ishikawa-other,"(その他)",OVERRIDE
ishikawa,"輪島 風俗","輪島",ishikawa-other,"(その他)",OVERRIDE
ishikawa,"片山津/加賀 風俗","片山津/加賀",kanazawa,"(その他)",OVERRIDE
iwate,"盛岡","盛岡",morioka,"盛岡",HIGH
iwate,"北上","北上",kitakami,"北上・花巻・一関",HIGH
iwate,"一関","一関",kitakami,"北上・花巻・一関",HIGH
iwate,"花巻","花巻",kitakami,"北上・花巻・一関",HIGH
iwate,"岩手その他","岩手その他",iwate-other,"(その他)",OVERRIDE
kagawa,"高松","高松",takamatsu,"高松",HIGH
kagawa,"さぬき","さぬき",takamatsu,"(その他)",OVERRIDE
kagawa,"東かがわ","東かがわ",takamatsu,"(その他)",OVERRIDE
kagawa,"香川その他","香川その他",kagawa-other,"(その他)",OVERRIDE
kagawa,"善通寺 風俗","善通寺",kagawa-other,"(その他)",OVERRIDE
kagawa,"丸亀 風俗","丸亀",kagawa-other,"(その他)",OVERRIDE
kagawa,"坂出 風俗","坂出",kagawa-other,"(その他)",OVERRIDE
kagawa,"善通寺/丸亀/坂出 風俗","善通寺/丸亀/坂出",kagawa-other,"(その他)",OVERRIDE
kagoshima,"鹿児島","鹿児島",kagoshima-city,"鹿児島市",HIGH
kagoshima,"奄美大島","奄美大島",kagoshima-other,"(その他)",OVERRIDE
kagoshima,"霧島・国分","霧島・国分",kagoshima-other,"(その他)",OVERRIDE
kagoshima,"薩摩川内","薩摩川内",kagoshima-other,"(その他)",OVERRIDE
kagoshima,"串木野","串木野",kagoshima-other,"(その他)",OVERRIDE
kagoshima,"鹿児島その他","鹿児島その他",kagoshima-other,"(その他)",OVERRIDE
kagoshima,"鹿屋 風俗","鹿屋",kagoshima-other,"(その他)",OVERRIDE
kagoshima,"出水 風俗","出水",kagoshima-other,"(その他)",OVERRIDE
kagoshima,"谷山 風俗","谷山",kagoshima-city,"(その他)",OVERRIDE
kagoshima,"平川 風俗","平川",kagoshima-city,"(その他)",OVERRIDE
kanagawa,"横浜","横浜",yokohama,"横浜・関内",HIGH
kanagawa,"川崎","川崎",kawasaki,"川崎",HIGH
kanagawa,"横浜西口","横浜西口",yokohama,"(その他)",OVERRIDE
kanagawa,"新横浜","新横浜",yokohama,"(その他)",OVERRIDE
kanagawa,"相模原","相模原",sagamihara,"相模原・橋本",HIGH
kanagawa,"上大岡","上大岡",yokohama,"(その他)",OVERRIDE
kanagawa,"横須賀","横須賀",yokosuka,"横須賀・三浦",HIGH
kanagawa,"小田原","小田原",odawara,"小田原・箱根",HIGH
kanagawa,"鶴見","鶴見",yokohama,"(その他)",OVERRIDE
kanagawa,"鎌倉","鎌倉",fujisawa,"(その他)",OVERRIDE
kanagawa,"伊勢原","伊勢原",atsugi,"(その他)",OVERRIDE
kanagawa,"神奈川その他","神奈川その他",yokohama,"(その他)",OVERRIDE
kanagawa,"関内 風俗","関内",yokohama,"横浜・関内",HIGH
kanagawa,"福富町 風俗","福富町",yokohama,"(その他)",OVERRIDE
kanagawa,"曙町 風俗","曙町",yokohama,"(その他)",OVERRIDE
kanagawa,"桜木町 風俗","桜木町",yokohama,"(その他)",OVERRIDE
kanagawa,"野毛 風俗","野毛",yokohama,"(その他)",OVERRIDE
kanagawa,"宮川町 風俗","宮川町",yokohama,"(その他)",OVERRIDE
kanagawa,"本厚木 風俗","本厚木",atsugi,"(その他)",OVERRIDE
kanagawa,"厚木 風俗","厚木",atsugi,"厚木・海老名・大和",HIGH
kanagawa,"武蔵小杉 風俗","武蔵小杉",kawasaki,"(その他)",OVERRIDE
kanagawa,"溝の口 風俗","溝の口",kawasaki,"(その他)",OVERRIDE
kanagawa,"藤沢 風俗","藤沢",fujisawa,"藤沢・湘南",HIGH
kanagawa,"平塚 風俗","平塚",fujisawa,"(その他)",OVERRIDE
kanagawa,"戸塚 風俗","戸塚",yokohama,"(その他)",OVERRIDE
kanagawa,"大船 風俗","大船",yokohama,"(その他)",OVERRIDE
kanagawa,"大和 風俗","大和",atsugi,"厚木・海老名・大和",HIGH
kanagawa,"海老名 風俗","海老名",atsugi,"厚木・海老名・大和",HIGH
kanagawa,"関内/福富町/曙町 風俗","関内/福富町/曙町",yokohama,"横浜・関内",MED
kanagawa,"本厚木/厚木 風俗","本厚木/厚木",atsugi,"厚木・海老名・大和",MED
kanagawa,"桜木町/野毛/宮川町 風俗","桜木町/野毛/宮川町",yokohama,"(その他)",OVERRIDE
kanagawa,"大和/海老名 風俗","大和/海老名",atsugi,"厚木・海老名・大和",MED
kanagawa,"藤沢/平塚 風俗","藤沢/平塚",fujisawa,"藤沢・湘南",MED
kochi,"高知その他","高知その他",kochi-city,"(その他)",OVERRIDE
kochi,"高知 風俗","高知",kochi-city,"高知",HIGH
kochi,"南国 風俗","南国",kochi-city,"(その他)",OVERRIDE
kochi,"土佐 風俗","土佐",kochi-city,"(その他)",OVERRIDE
kochi,"高知/南国 風俗","高知/南国",kochi-city,"高知",MED
kumamoto,"熊本","熊本",kumamoto-city,"熊本市",HIGH
kumamoto,"人吉","人吉",kumamoto-other,"(その他)",OVERRIDE
kumamoto,"八代","八代",kumamoto-other,"(その他)",OVERRIDE
kumamoto,"山鹿","山鹿",kumamoto-other,"(その他)",OVERRIDE
kumamoto,"菊陽町","菊陽町",kumamoto-city,"(その他)",OVERRIDE
kumamoto,"水俣","水俣",kumamoto-other,"(その他)",OVERRIDE
kumamoto,"熊本その他","熊本その他",kumamoto-other,"(その他)",OVERRIDE
kumamoto,"宇土 風俗","宇土",kumamoto-city,"(その他)",OVERRIDE
kumamoto,"宇城 風俗","宇城",kumamoto-city,"(その他)",OVERRIDE
